gene	A	B	C	D	E
Skcos19763	17	5	7	31	9
Skcos19764	108	34	44	86	58
Skcos19765	1	0	0	0	0
Skcos19766	87	33	43	129	60
Skcos19767	131	30	31	137	29
Skcos19768	20	2	3	51	10
Skcos19769	38	11	15	77	15
Skcos1977	1	0	0	2	4
Skcos19770	0	0	0	1	0
Skcos19771	70	16	14	82	34
Skcos19772	9	0	3	6	0
Skcos19773	41	8	11	62	10
Skcos19774	2	0	1	1	1
Skcos19775	0	0	0	0	0
Skcos19776	0	0	0	1	0
Skcos19777	0	0	0	0	0
Skcos19778	0	0	0	0	0
Skcos19779	15	1	3	10	7
Skcos1978	10	4	1	2	4
Skcos19780	25	17	14	46	10
Skcos19781	6	2	2	2	0
Skcos19782	0	0	0	2	0
Skcos19783	13	11	6	24	10
Skcos19784	10	2	5	14	2
Skcos19785	3	1	1	7	2
Skcos19786	4	1	2	12	0
Skcos19787	20	15	21	47	22
Skcos19788	4	4	5	23	0
Skcos19789	105	48	54	182	90
Skcos1979	9	0	3	9	3
Skcos19790	3	1	3	9	6
Skcos19791	0	0	0	1	0
Skcos19792	0	0	0	2	0
Skcos19793	0	0	1	1	0
Skcos19794	17	0	6	21	0
Skcos19795	3	0	0	5	0
Skcos19796	10	3	2	9	0
Skcos19797	3	0	0	6	0
Skcos19798	2	3	2	4	5
Skcos19799	4	4	2	3	0
Skcos198	0	0	0	0	0
Skcos1980	73	17	12	64	11
Skcos19800	1	0	0	4	0
Skcos19801	141	51	60	238	75
Skcos19802	0	1	0	0	0
Skcos19803	20	6	7	29	13
Skcos19804	22	8	6	38	12
Skcos19805	14	4	9	21	3
Skcos19806	36	18	16	45	35
Skcos19807	124	41	51	60	82
Skcos19808	0	0	0	0	0
Skcos19809	0	0	0	0	0
Skcos1981	0	0	1	1	1
Skcos19810	11	4	1	9	7
Skcos19811	10	0	4	9	0
Skcos19812	90	34	57	102	46
Skcos19813	5	1	3	3	0
Skcos19814	0	0	0	0	0
Skcos19815	2	0	0	0	0
Skcos19816	16	2	4	22	3
Skcos19817	38	6	6	164	16
Skcos19818	7	1	1	9	1
Skcos19819	11	1	1	11	3
Skcos1982	9	0	3	16	7
Skcos19820	4	1	0	5	1
Skcos19821	26	5	10	29	9
Skcos19822	158	4	11	57	22
Skcos19823	1	0	2	6	4
Skcos19824	79	2	1	60	4
Skcos19825	0	0	0	1	0
Skcos19826	0	0	0	0	0
Skcos19827	0	0	0	0	0
Skcos19828	0	0	0	0	0
Skcos19829	0	0	0	0	0
Skcos1983	19	6	12	37	6
Skcos19830	0	0	0	0	0
Skcos19831	0	0	0	0	0
Skcos19832	0	0	0	1	0
Skcos19833	0	0	0	0	0
Skcos19834	0	0	0	1	0
Skcos19835	0	0	0	0	0
Skcos19836	0	0	0	0	0
Skcos19837	0	0	0	0	0
Skcos19838	0	0	0	0	0
Skcos19839	0	0	0	0	0
Skcos1984	85	55	81	68	140
Skcos19840	0	0	0	0	0
Skcos19841	58	0	1	7	0
Skcos19842	2	0	5	7	0
Skcos19843	5	0	0	0	0
Skcos19844	10	6	10	3	10
Skcos19845	10	3	6	4	12
Skcos19846	42	2	1	24	2
Skcos19847	7	2	3	8	4
Skcos19848	8	0	3	20	3
Skcos19849	19	7	4	23	7
Skcos1985	33	4	3	19	6
Skcos19850	14	1	4	11	0
Skcos19851	0	0	0	0	0
Skcos19852	10	2	2	9	5
Skcos19853	93	30	57	158	85
Skcos19854	12	9	2	5	8
Skcos19855	0	0	0	0	0
Skcos19856	0	0	0	0	0
Skcos19857	0	0	0	2	0
Skcos19858	0	0	0	0	0
Skcos19859	0	0	0	0	0
Skcos1986	12	3	6	7	6
Skcos19860	0	0	0	2	0
Skcos19861	45	4	11	50	9
Skcos19862	0	0	0	0	0
Skcos19863	5	0	0	3	0
Skcos19864	8	0	3	4	0
Skcos19865	0	0	2	5	1
Skcos19866	3	0	1	4	7
Skcos19867	0	0	0	0	0
Skcos19868	0	0	0	0	0
Skcos19869	7	1	0	12	0
Skcos1987	1	0	0	1	0
Skcos19870	2	1	0	0	0
Skcos19871	45	6	2	33	2
Skcos19872	3	0	0	2	2
Skcos19873	17	2	5	23	3
Skcos19874	61	6	10	28	4
Skcos19875	2	1	0	10	0
Skcos19876	0	0	0	0	0
Skcos19877	32	11	12	45	5
Skcos19878	6	1	2	4	1
Skcos19879	12	0	2	13	1
Skcos1988	9	1	1	12	0
Skcos19880	38	8	14	62	12
Skcos19881	8	9	5	19	1
Skcos19882	0	0	0	0	0
Skcos19883	6	4	0	2	0
Skcos19884	0	0	0	2	0
Skcos19885	12	3	1	26	4
Skcos19886	2	0	0	2	0
Skcos19887	17	16	27	15	16
Skcos19888	4	0	1	13	1
Skcos19889	0	0	0	0	0
Skcos1989	2	1	0	2	0
Skcos19890	4	2	0	0	5
Skcos19891	166	80	109	298	121
Skcos19892	1	0	4	6	4
Skcos19893	86	32	31	147	44
Skcos19894	0	0	0	0	0
Skcos19895	0	0	2	0	0
Skcos19896	200	264	250	269	366
Skcos19897	49	14	10	60	9
Skcos19898	3	1	1	1	4
Skcos19899	1	0	1	2	0
Skcos199	4	1	1	0	0
Skcos1990	4	0	0	3	1
Skcos19900	4	0	0	4	2
Skcos19901	950	355	450	785	565
Skcos19902	0	0	0	0	0
Skcos19903	14	2	6	25	2
Skcos19904	71	53	47	167	46
Skcos19905	1	0	1	3	0
Skcos19906	5	1	1	9	5
Skcos19907	6	0	4	6	7
Skcos19908	6	1	0	14	9
Skcos19909	59	8	10	62	8
Skcos1991	41	43	40	75	25
Skcos19910	887	879	945	784	1020
Skcos19911	43	11	15	43	43
Skcos19912	85	31	33	122	51
Skcos19913	0	0	0	0	0
Skcos19914	0	0	0	0	0
Skcos19915	22	26	17	12	31
Skcos19916	16	7	5	8	15
Skcos19917	85	23	22	21	25
Skcos19918	1	0	0	0	0
Skcos19919	56	8	6	37	8
Skcos1992	0	1	0	3	0
Skcos19920	15	5	6	16	3
Skcos19921	2	2	1	12	1
Skcos19922	15	4	4	10	3
Skcos19923	3	1	1	2	0
Skcos19924	2	0	1	1	1
Skcos19925	48	36	32	46	32
Skcos19926	14	0	0	18	1
Skcos19927	26	4	1	20	9
Skcos19928	7	4	9	19	7
Skcos19929	18	1	1	7	5
Skcos1993	37	10	17	30	10
Skcos19930	1	1	1	1	0
Skcos19931	12	7	0	8	2
Skcos19932	1	0	0	1	0
Skcos19933	0	0	0	8	3
Skcos19934	0	0	0	0	0
Skcos19935	1	0	0	0	2
Skcos19936	0	0	0	0	0
Skcos19937	2	0	0	0	0
Skcos19938	0	1	0	1	0
Skcos19939	0	0	0	0	0
Skcos1994	35	3	8	68	18
Skcos19940	0	0	0	0	0
Skcos19941	2	1	1	0	0
Skcos19942	0	0	0	0	0
Skcos19943	0	0	0	0	0
Skcos19944	15	1	5	12	8
Skcos19945	3	1	3	12	1
Skcos19946	0	0	1	0	0
Skcos19947	1	3	0	3	0
Skcos19948	0	0	0	0	0
Skcos19949	0	0	0	0	0
Skcos1995	6	1	0	10	2
Skcos19950	0	0	0	2	0
Skcos19951	0	0	0	0	0
Skcos19952	0	0	0	0	0
Skcos19953	0	0	0	0	0
Skcos19954	0	0	0	0	0
Skcos19955	0	0	0	0	0
Skcos19956	0	0	0	0	0
Skcos19957	0	0	0	0	0
Skcos19958	0	0	0	0	0
Skcos19959	0	0	0	0	0
Skcos1996	6	0	0	2	0
Skcos19960	96	125	112	92	129
Skcos19961	0	0	0	0	0
Skcos19962	0	0	0	0	0
Skcos19963	0	0	0	0	0
Skcos19964	0	0	0	0	0
Skcos19965	0	0	0	0	0
Skcos19966	0	0	0	0	0
Skcos19967	0	0	0	0	0
Skcos19968	0	0	0	0	0
Skcos19969	0	0	0	3	0
Skcos1997	2	2	0	3	0
Skcos19970	0	0	0	3	0
Skcos19971	0	0	0	0	0
Skcos19972	537	108	109	588	130
Skcos19973	204	138	152	180	207
Skcos19974	295	189	212	304	256
Skcos19975	369	230	328	416	455
Skcos19976	0	0	0	0	0
Skcos19977	0	1	3	0	1
Skcos19978	1	0	0	0	0
Skcos19979	0	0	0	0	0
Skcos1998	46	43	38	233	64
Skcos19980	0	0	0	0	0
Skcos19981	116	89	96	191	92
Skcos19982	14	3	0	5	6
Skcos19983	0	2	1	1	1
Skcos19984	0	0	0	0	0
Skcos19985	0	0	0	1	0
Skcos19986	0	0	0	0	0
Skcos19987	0	0	0	0	0
Skcos19988	1	0	0	0	1
Skcos19989	0	0	0	0	0
Skcos1999	150	17	14	84	8
Skcos19990	0	0	0	0	0
Skcos19991	0	0	0	0	0
Skcos19992	0	0	0	0	0
Skcos19993	0	0	0	0	0
Skcos19994	3	0	1	0	0
Skcos19995	104	73	210	580	116
Skcos19996	1	0	0	8	1
Skcos19997	1	0	2	1	0
Skcos19998	4	2	4	8	3
Skcos19999	0	0	0	0	2
Skcos2	17	3	2	13	2
Skcos20	93	14	27	173	20
Skcos200	74	50	66	44	75
Skcos2000	4	0	2	4	0
Skcos20000	1	0	0	4	0
Skcos20001	0	0	0	0	0
Skcos20002	47	11	14	92	9
Skcos20003	9	7	0	3	1
Skcos20004	10	7	4	16	2
Skcos20005	1	0	0	3	0
Skcos20006	0	0	0	1	0
Skcos20007	11	1	1	9	1
Skcos20008	92	35	51	91	45
Skcos20009	10	6	6	21	5
Skcos2001	1270	14	19	399	21
Skcos20010	0	0	0	5	2
Skcos20011	229	158	157	624	132
Skcos20012	18	7	5	55	3
Skcos20013	20	4	1	23	1
Skcos20014	7	3	1	10	2
Skcos20015	2	0	0	0	0
Skcos20016	2	1	1	5	0
Skcos20017	4	1	1	2	2
Skcos20018	1683	1362	1464	463	802
Skcos20019	14	5	9	15	3
Skcos2002	0	1	0	0	0
Skcos20020	3	0	1	0	0
Skcos20021	1	3	1	1	0
Skcos20022	59	22	14	102	10
Skcos20023	43	13	16	75	17
Skcos20024	9	0	0	7	0
Skcos20025	37	9	12	64	7
Skcos20026	3	0	1	4	1
Skcos20027	5	3	1	2	3
Skcos20028	487	379	360	145	209
Skcos20029	1	2	0	0	0
Skcos2003	12	0	1	23	3
Skcos20030	44	36	31	153	33
Skcos20031	8	1	4	18	7
Skcos20032	0	0	0	0	0
Skcos20033	1	3	1	6	4
Skcos20034	23	1	1	20	0
Skcos20035	0	0	0	0	0
Skcos20036	8	2	1	8	2
Skcos20037	5	0	0	6	0
Skcos20038	7	7	2	13	3
Skcos20039	2	0	0	0	0
Skcos2004	9	1	2	6	0
Skcos20040	24	4	10	45	11
Skcos20041	109	44	45	191	72
Skcos20042	6	2	6	15	6
Skcos20043	155	104	150	199	213
Skcos20044	3	1	2	10	4
Skcos20045	293	155	188	264	246
Skcos20046	1	0	0	3	1
Skcos20047	461	136	134	1374	182
Skcos20048	0	0	0	0	0
Skcos20049	213	113	165	174	230
Skcos2005	3	0	0	2	0
Skcos20050	9	0	0	17	0
Skcos20051	13	1	1	7	1
Skcos20052	14	3	2	14	1
Skcos20053	56	20	21	42	20
Skcos20054	26	5	7	35	3
Skcos20055	1	0	0	3	0
Skcos20056	7	4	4	17	2
Skcos20057	88	30	39	63	85
Skcos20058	0	0	0	0	0
Skcos20059	0	0	0	0	0
Skcos2006	0	0	0	0	0
Skcos20060	0	0	0	0	0
Skcos20061	1	1	0	0	0
Skcos20062	0	0	0	0	0
Skcos20063	0	0	0	0	0
Skcos20064	0	0	0	0	0
Skcos20065	1	1	0	1	1
Skcos20066	58	10	9	61	17
Skcos20067	25	9	8	39	5
Skcos20068	99	16	25	128	22
Skcos20069	115	54	84	101	98
Skcos2007	4	6	1	1	0
Skcos20070	0	0	2	2	0
Skcos20071	2	0	0	3	1
Skcos20072	9	5	2	15	4
Skcos20073	0	0	0	0	0
Skcos20074	0	0	0	0	0
Skcos20075	0	0	0	0	0
Skcos20076	0	0	0	0	0
Skcos20077	0	0	0	0	0
Skcos20078	0	0	0	0	0
Skcos20079	0	0	0	0	0
Skcos2008	1	0	0	0	0
Skcos20080	0	0	0	0	0
Skcos20081	1	0	1	4	1
Skcos20082	0	0	1	0	0
Skcos20083	0	0	3	0	0
Skcos20084	1	0	0	0	0
Skcos20085	0	0	0	0	0
Skcos20086	120	6	12	109	13
Skcos20087	13	2	5	14	3
Skcos20088	0	0	0	0	0
Skcos20089	1	0	2	0	0
Skcos2009	395	254	311	485	445
Skcos20090	0	0	1	2	0
Skcos20091	4	1	0	5	1
Skcos20092	0	0	0	0	0
Skcos20093	94	30	24	155	31
Skcos20094	2	1	1	9	0
Skcos20095	10	5	10	19	18
Skcos20096	11	1	1	7	0
Skcos20097	8	1	0	15	1
Skcos20098	16	2	2	8	3
Skcos20099	4	0	0	0	0
Skcos201	42	11	12	71	18
Skcos2010	203	102	101	232	137
Skcos20100	0	2	0	1	0
Skcos20101	0	1	0	1	0
Skcos20102	11	1	0	0	3
Skcos20103	7	3	2	6	3
Skcos20104	5	0	0	3	0
Skcos20105	0	0	0	0	0
Skcos20106	38	17	16	72	8
Skcos20107	6	2	3	9	1
Skcos20108	109	49	102	89	127
Skcos20109	0	0	0	1	0
Skcos2011	16	3	1	17	0
Skcos20110	2	0	0	3	0
Skcos20111	2	0	0	0	1
Skcos20112	7	1	0	13	3
Skcos20113	6	3	2	6	0
Skcos20114	97	91	141	157	141
Skcos20115	6	5	0	3	0
Skcos20116	7	1	9	8	14
Skcos20117	0	0	0	1	0
Skcos20118	0	0	0	0	0
Skcos20119	1	0	0	0	0
Skcos2012	5	2	5	17	7
Skcos20120	0	1	0	2	0
Skcos20121	0	0	0	1	0
Skcos20122	2	0	0	0	0
Skcos20123	1	0	0	1	0
Skcos20124	0	1	0	5	1
Skcos20125	0	0	0	0	0
Skcos20126	1	0	0	0	0
Skcos20127	4	1	1	11	2
Skcos20128	0	1	0	2	0
Skcos20129	2	0	0	1	0
Skcos2013	2	1	1	1	0
Skcos20130	3	0	1	7	2
Skcos20131	2	1	1	4	0
Skcos20132	1	0	0	3	0
Skcos20133	0	0	0	0	0
Skcos20134	2	0	1	1	0
Skcos20135	6	1	0	2	0
Skcos20136	0	0	0	0	0
Skcos20137	4	3	3	5	5
Skcos20138	60	14	8	67	3
Skcos20139	98	19	24	189	34
Skcos2014	52	1	2	60	2
Skcos20140	0	0	0	0	0
Skcos20141	0	0	0	0	0
Skcos20142	0	0	0	0	0
Skcos20143	0	0	0	0	0
Skcos20144	0	0	0	0	0
Skcos20145	0	0	0	0	0
Skcos20146	0	0	0	0	0
Skcos20147	0	0	0	0	0
Skcos20148	0	0	0	0	0
Skcos20149	0	0	0	0	0
Skcos2015	145	51	28	211	49
Skcos20150	0	0	0	0	0
Skcos20151	0	0	0	0	0
Skcos20152	3	1	1	1	0
Skcos20153	0	0	0	0	0
Skcos20154	0	0	0	0	0
Skcos20155	131	28	26	150	22
Skcos20156	0	1	0	4	1
Skcos20157	1	1	0	2	0
Skcos20158	5	1	1	1	2
Skcos20159	1	0	0	0	2
Skcos2016	7	3	2	6	4
Skcos20160	67	12	24	65	24
Skcos20161	0	0	0	0	0
Skcos20162	2	0	0	4	0
Skcos20163	0	0	0	0	0
Skcos20164	2	1	0	2	0
Skcos20165	37	7	4	31	2
Skcos20166	3	0	0	5	0
Skcos20167	5	0	1	7	2
Skcos20168	1	0	0	0	0
Skcos20169	6	0	1	2	0
Skcos2017	1	5	0	2	0
Skcos20170	901	199	182	795	215
Skcos20171	159	92	130	323	158
Skcos20172	1	0	0	2	0
Skcos20173	2	1	0	1	0
Skcos20174	1	0	1	0	1
Skcos20175	0	0	0	0	0
Skcos20176	0	0	0	0	0
Skcos20177	1	3	0	5	2
Skcos20178	18	5	7	9	5
Skcos20179	30	2	6	15	9
Skcos2018	2	1	1	4	3
Skcos20180	50	6	20	43	0
Skcos20181	26	9	11	50	8
Skcos20182	30	16	21	73	28
Skcos20183	10	1	0	12	0
Skcos20184	37	12	11	48	15
Skcos20185	38	22	10	43	24
Skcos20186	47	13	13	92	18
Skcos20187	2	4	1	1	0
Skcos20188	371	76	85	322	138
Skcos20189	0	0	0	1	1
Skcos2019	29	5	24	12	12
Skcos20190	19	4	7	15	7
Skcos20191	10	0	1	7	0
Skcos20192	33	16	33	30	49
Skcos20193	0	0	0	0	0
Skcos20194	0	1	0	0	0
Skcos20195	13	5	0	10	7
Skcos20196	20	2	3	29	5
Skcos20197	44	8	5	29	13
Skcos20198	6	1	0	7	2
Skcos20199	18	4	8	12	2
Skcos202	17	2	2	17	7
Skcos2020	11	2	4	5	6
Skcos20200	0	0	0	0	0
Skcos20201	0	0	0	0	0
Skcos20202	1	0	0	0	0
Skcos20203	0	0	0	0	0
Skcos20204	5	5	5	23	14
Skcos20205	0	0	0	0	0
Skcos20206	686	249	236	793	262
Skcos20207	24	4	3	43	8
Skcos20208	0	0	0	0	0
Skcos20209	0	0	0	0	0
Skcos2021	4	2	4	10	6
Skcos20210	0	0	0	0	0
Skcos20211	0	0	0	0	0
Skcos20212	0	0	0	0	0
Skcos20213	0	0	0	0	0
Skcos20214	0	0	0	0	0
Skcos20215	0	0	0	0	0
Skcos20216	25	5	10	3	9
Skcos20217	28	7	20	53	15
Skcos20218	1	0	0	0	0
Skcos20219	0	0	0	1	0
Skcos2022	5	3	1	1	5
Skcos20220	0	0	0	0	0
Skcos20221	0	0	0	0	0
Skcos20222	0	0	0	0	0
Skcos20223	1	0	0	0	0
Skcos20224	0	0	0	0	0
Skcos20225	0	0	0	0	0
Skcos20226	0	0	1	0	0
Skcos20227	0	0	2	0	0
Skcos20228	0	0	0	0	0
Skcos20229	0	0	0	0	0
Skcos2023	16	7	4	15	5
Skcos20230	0	0	0	0	0
Skcos20231	17	3	6	19	3
Skcos20232	0	0	0	0	0
Skcos20233	0	0	0	0	0
Skcos20234	0	0	0	0	0
Skcos20235	22	2	8	67	19
Skcos20236	0	0	0	1	0
Skcos20237	122	17	25	75	40
Skcos20238	2	0	0	0	0
Skcos20239	1	0	2	0	0
Skcos2024	0	0	2	0	0
Skcos20240	28	15	9	68	18
Skcos20241	0	0	0	0	0
Skcos20242	0	0	0	0	0
Skcos20243	0	0	0	0	0
Skcos20244	0	0	0	0	0
Skcos20245	1	0	0	2	0
Skcos20246	4	2	0	2	1
Skcos20247	1	0	0	0	0
Skcos20248	0	0	0	0	0
Skcos20249	2	1	0	2	0
Skcos2025	10	1	1	4	2
Skcos20250	1	0	0	1	4
Skcos20251	3	0	1	6	0
Skcos20252	9	13	1	10	4
Skcos20253	16	4	2	25	7
Skcos20254	0	0	0	0	0
Skcos20255	0	0	1	0	0
Skcos20256	0	0	0	0	3
Skcos20257	99	8	8	54	11
Skcos20258	171	195	184	595	258
Skcos20259	3	0	1	4	0
Skcos2026	50	8	8	67	12
Skcos20260	0	0	0	0	0
Skcos20261	1	0	0	0	0
Skcos20262	0	0	0	0	0
Skcos20263	0	0	0	0	0
Skcos20264	89	3	8	55	7
Skcos20265	0	0	0	0	0
Skcos20266	0	0	0	0	0
Skcos20267	0	0	2	0	0
Skcos20268	0	1	0	0	0
Skcos20269	0	0	0	0	0
Skcos2027	10	3	7	8	7
Skcos20270	4	0	0	1	0
Skcos20271	1	1	0	7	0
Skcos20272	0	0	0	0	2
Skcos20273	1	0	1	2	4
Skcos20274	0	0	0	0	0
Skcos20275	0	0	0	6	3
Skcos20276	3	0	0	2	0
Skcos20277	0	0	0	1	0
Skcos20278	0	0	0	0	1
Skcos20279	0	0	0	0	0
Skcos2028	57	25	14	73	16
Skcos20280	0	0	0	0	1
Skcos20281	0	0	0	0	0
Skcos20282	0	0	0	0	0
Skcos20283	3	1	1	14	1
Skcos20284	0	0	0	1	0
Skcos20285	3	3	5	11	5
Skcos20286	6	3	2	21	6
Skcos20287	10	3	2	14	2
Skcos20288	4	5	3	15	1
Skcos20289	5	3	3	14	3
Skcos2029	49	6	5	45	8
Skcos20290	4	0	0	1	1
Skcos20291	6	0	1	1	0
Skcos20292	1	0	0	7	0
Skcos20293	6	1	2	6	1
Skcos20294	14	2	3	10	6
Skcos20295	17	5	8	18	8
Skcos20296	8	0	2	4	5
Skcos20297	2	0	2	1	1
Skcos20298	10	2	3	9	3
Skcos20299	10	2	1	3	2
Skcos203	0	2	3	1	0
Skcos2030	20	3	4	26	9
Skcos20300	8	1	0	1	1
Skcos20301	2	2	4	3	2
Skcos20302	91	34	50	84	55
Skcos20303	3	1	0	8	0
Skcos20304	4	4	2	0	1
Skcos20305	114	98	126	151	146
Skcos20306	0	1	0	9	0
Skcos20307	33	9	18	41	15
Skcos20308	3	0	0	1	1
Skcos20309	0	1	1	4	1
Skcos2031	15	4	3	15	4
Skcos20310	1	0	0	0	0
Skcos20311	0	0	0	0	0
Skcos20312	5	1	2	14	3
Skcos20313	79	23	43	169	35
Skcos20314	0	0	1	4	0
Skcos20315	2	0	0	8	0
Skcos20316	30	20	12	66	15
Skcos20317	4	0	0	1	0
Skcos20318	4	2	0	1	0
Skcos20319	37	16	19	37	38
Skcos2032	225	160	214	224	281
Skcos20320	4	0	3	12	1
Skcos20321	22	12	0	44	2
Skcos20322	134	77	122	201	104
Skcos20323	15	4	5	32	11
Skcos20324	1	0	0	3	0
Skcos20325	3	0	0	5	0
Skcos20326	5	0	0	2	0
Skcos20327	10	3	3	3	0
Skcos20328	1	0	0	0	0
Skcos20329	2	0	3	2	1
Skcos2033	2	0	2	2	0
Skcos20330	30	13	8	35	13
Skcos20331	16	0	3	19	4
Skcos20332	17	2	1	15	1
Skcos20333	2	3	0	0	0
Skcos20334	22	5	4	28	4
Skcos20335	7	0	3	6	0
Skcos20336	40	6	10	47	7
Skcos20337	12	2	4	15	3
Skcos20338	11	7	3	26	4
Skcos20339	6	0	0	3	0
Skcos2034	31	7	6	22	4
Skcos20340	73	30	30	97	59
Skcos20341	77	27	37	112	48
Skcos20342	79	15	30	97	26
Skcos20343	133	91	83	99	123
Skcos20344	60	40	42	75	62
Skcos20345	18	9	9	8	10
Skcos20346	4	0	0	2	1
Skcos20347	4	0	0	1	0
Skcos20348	0	0	0	0	0
Skcos20349	0	0	0	0	0
Skcos2035	2	1	0	1	3
Skcos20350	0	0	0	0	0
Skcos20351	0	0	0	0	0
Skcos20352	0	0	0	0	0
Skcos20353	0	0	0	0	0
Skcos20354	0	0	0	0	0
Skcos20355	0	0	0	0	0
Skcos20356	0	0	0	0	0
Skcos20357	0	0	0	0	0
Skcos20358	0	0	0	0	0
Skcos20359	2	1	0	3	0
Skcos2036	0	1	0	1	0
Skcos20360	22	7	14	17	18
Skcos20361	119	67	57	124	129
Skcos20362	12	4	2	9	2
Skcos20363	0	0	0	0	0
Skcos20364	4	0	0	4	1
Skcos20365	1	0	0	2	0
Skcos20366	278	286	336	1189	480
Skcos20367	3	0	1	9	0
Skcos20368	16	3	2	18	3
Skcos20369	0	0	0	0	3
Skcos2037	36	17	23	52	21
Skcos20370	0	0	0	0	0
Skcos20371	46	14	15	3	19
Skcos20372	13	18	12	29	15
Skcos20373	24	5	6	32	7
Skcos20374	3	1	1	4	0
Skcos20375	3	0	0	10	1
Skcos20376	5	0	0	0	0
Skcos20377	0	0	0	0	0
Skcos20378	2	0	0	1	0
Skcos20379	0	0	0	0	0
Skcos2038	57	9	8	42	5
Skcos20380	0	0	0	0	0
Skcos20381	18	1	7	16	4
Skcos20382	1	1	0	1	0
Skcos20383	0	0	0	1	0
Skcos20384	0	0	0	0	0
Skcos20385	14	17	22	15	19
Skcos20386	0	0	0	0	0
Skcos20387	7	4	0	13	1
Skcos20388	2	1	0	5	0
Skcos20389	31	23	16	30	21
Skcos2039	8	0	0	1	2
Skcos20390	0	1	0	3	0
Skcos20391	1690	2055	1736	1143	1280
Skcos20392	1	0	0	3	0
Skcos20393	0	0	0	0	0
Skcos20394	0	3	1	3	1
Skcos20395	33	4	3	39	1
Skcos20396	42	27	28	85	28
Skcos20397	0	2	1	0	0
Skcos20398	0	0	0	0	0
Skcos20399	0	0	0	2	0
Skcos204	27	17	11	5	13
Skcos2040	7	3	2	1	3
Skcos20400	4	0	0	4	0
Skcos20401	0	0	1	1	0
Skcos20402	6	5	17	9	17
Skcos20403	143	52	64	120	79
Skcos20404	0	0	0	0	0
Skcos20405	27	7	7	29	17
Skcos20406	5	0	2	5	1
Skcos20407	0	0	0	0	0
Skcos20408	1	1	3	1	1
Skcos20409	42	19	28	164	12
Skcos2041	28	3	5	26	1
Skcos20410	0	0	0	0	0
Skcos20411	0	0	0	0	0
Skcos20412	0	0	0	0	0
Skcos20413	0	0	0	0	0
Skcos20414	0	0	0	0	0
Skcos20415	0	0	0	0	0
Skcos20416	1	1	1	4	4
Skcos20417	3	3	0	7	1
Skcos20418	0	0	0	2	0
Skcos20419	0	0	0	0	0
Skcos2042	193	94	69	365	110
Skcos20420	0	0	0	0	0
Skcos20421	12	4	2	19	5
Skcos20422	4	3	1	4	0
Skcos20423	0	0	0	0	0
Skcos20424	0	0	0	2	0
Skcos20425	3	3	2	1	7
Skcos20426	13	1	1	12	7
Skcos20427	22	13	3	40	7
Skcos20428	8	1	1	8	5
Skcos20429	3	1	2	15	0
Skcos2043	154	91	77	493	116
Skcos20430	18	9	12	27	14
Skcos20431	112	45	93	110	121
Skcos20432	8	2	1	14	3
Skcos20433	6	1	2	6	0
Skcos20434	2	0	0	2	1
Skcos20435	1	0	0	0	0
Skcos20436	0	1	0	2	0
Skcos20437	0	0	0	0	0
Skcos20438	44	14	11	74	10
Skcos20439	9	3	5	18	4
Skcos2044	1057	580	733	1473	909
Skcos20440	0	0	3	5	1
Skcos20441	2	0	0	2	0
Skcos20442	147	57	81	145	107
Skcos20443	0	0	0	0	0
Skcos20444	291	82	132	180	176
Skcos20445	15	1	2	16	1
Skcos20446	56	17	12	107	30
Skcos20447	0	0	0	3	2
Skcos20448	14	6	4	20	5
Skcos20449	108	123	155	350	191
Skcos2045	17	6	6	18	9
Skcos20450	11	2	6	13	0
Skcos20451	16	13	11	48	13
Skcos20452	8	0	0	7	3
Skcos20453	38	7	15	49	12
Skcos20454	3	0	1	5	0
Skcos20455	14	13	10	7	18
Skcos20456	0	0	0	0	0
Skcos20457	0	2	0	1	0
Skcos20458	1	0	0	2	0
Skcos20459	13	2	3	12	0
Skcos2046	357	239	264	434	297
Skcos20460	0	0	0	1	0
Skcos20461	7	1	2	29	2
Skcos20462	5	0	4	9	3
Skcos20463	3	0	0	1	0
Skcos20464	3	0	0	2	0
Skcos20465	6	4	6	8	5
Skcos20466	0	1	0	0	0
Skcos20467	0	4	9	0	6
Skcos20468	104	56	73	161	74
Skcos20469	8	11	7	11	6
Skcos2047	10	4	2	19	5
Skcos20470	15	3	0	20	2
Skcos20471	2	0	0	7	0
Skcos20472	2	0	0	5	0
Skcos20473	38	29	38	37	41
Skcos20474	1	1	1	1	0
Skcos20475	32	11	14	90	8
Skcos20476	1	0	0	5	3
Skcos20477	1	0	1	1	0
Skcos20478	11	3	0	5	1
Skcos20479	0	0	0	0	0
Skcos2048	0	6	1	3	5
Skcos20480	1	1	3	1	0
Skcos20481	517	255	300	989	231
Skcos20482	1	0	0	0	0
Skcos20483	2	2	1	0	0
Skcos20484	13	0	1	8	0
Skcos20485	0	0	0	0	0
Skcos20486	0	0	0	1	0
Skcos20487	0	0	1	0	0
Skcos20488	0	0	0	11	0
Skcos20489	3	0	0	3	0
Skcos2049	2	0	0	0	0
Skcos20490	0	0	0	1	0
Skcos20491	0	0	0	2	1
Skcos20492	2	0	0	0	3
Skcos20493	0	0	1	0	0
Skcos20494	0	0	0	0	0
Skcos20495	6	0	1	5	3
Skcos20496	14	0	1	12	4
Skcos20497	5	0	0	4	2
Skcos20498	65	71	60	178	76
Skcos20499	1	0	1	2	1
Skcos205	3	2	4	9	1
Skcos2050	15	0	5	10	2
Skcos20500	5	3	1	15	4
