gene	A	B	C	D	E
Skcos1036	1	2	0	5	0
Skcos10360	5	1	2	1	0
Skcos10361	8	9	9	32	15
Skcos10362	1	0	0	1	0
Skcos10363	5	1	1	8	4
Skcos10364	12	8	11	14	6
Skcos10365	6	1	3	12	4
Skcos10366	10	1	2	23	0
Skcos10367	1	2	0	2	0
Skcos10368	67	75	94	122	124
Skcos10369	25	17	16	39	9
Skcos1037	10	2	0	11	0
Skcos10370	5	1	5	19	6
Skcos10371	15	0	1	18	0
Skcos10372	2	1	1	4	1
Skcos10373	4	3	4	12	0
Skcos10374	1651	974	1195	1526	1459
Skcos10375	21	3	5	24	6
Skcos10376	1	0	0	6	0
Skcos10377	2	0	0	4	0
Skcos10378	20	6	8	23	9
Skcos10379	50	7	3	27	1
Skcos1038	9	2	5	13	0
Skcos10380	8	0	6	7	1
Skcos10381	4	0	3	8	0
Skcos10382	9	1	2	8	2
Skcos10383	6	0	3	7	8
Skcos10384	4	0	4	8	1
Skcos10385	2	2	1	5	3
Skcos10386	95	12	12	60	10
Skcos10387	87	24	30	78	45
Skcos10388	95	13	24	172	29
Skcos10389	10	3	2	8	6
Skcos1039	4313	3009	3669	6761	3333
Skcos10390	25	0	3	41	3
Skcos10391	10	2	0	6	3
Skcos10392	419	212	350	494	405
Skcos10393	72	15	23	83	22
Skcos10394	477	66	77	675	68
Skcos10395	15	2	5	34	2
Skcos10396	10	2	2	17	3
Skcos10397	21	5	6	23	6
Skcos10398	9	2	2	1	0
Skcos10399	17	1	4	18	2
Skcos104	2	0	0	0	0
Skcos1040	9	0	3	10	0
Skcos10400	104	18	13	149	9
Skcos10401	13	4	3	29	2
Skcos10402	8	4	3	5	1
Skcos10403	3	2	3	4	4
Skcos10404	4	0	0	2	0
Skcos10405	39	4	0	11	2
Skcos10406	1339	366	529	1568	774
Skcos10407	7	0	0	9	0
Skcos10408	35	16	6	68	16
Skcos10409	71	24	22	104	24
Skcos1041	34	14	17	68	16
Skcos10410	175	145	143	222	205
Skcos10411	25	3	3	19	4
Skcos10412	14	6	11	27	3
Skcos10413	4	1	0	7	0
Skcos10414	0	0	0	2	1
Skcos10415	0	0	0	0	0
Skcos10416	27	7	9	15	7
Skcos10417	21	6	7	40	13
Skcos10418	0	0	0	0	0
Skcos10419	0	0	0	0	0
Skcos1042	2	1	0	1	0
Skcos10420	11	1	3	8	0
