K00517	140	2473	67	58	9	119	13	3	53	13
K09291	811	4041	108	40	41	82	14	18	106	21
K05609	12	35	1	3	0	1	0	1	0	0
K00999	23	70	1	2	0	2	0	1	1	5
K03155	21	208	3	10	1	1	0	0	0	0
K00995	298	1208	7	30	8	11	1	2	9	2
K00991	247	127	0	24	0	0	0	0	0	1
K00993	1122	918	182	27	15	108	75	91	86	127
K13998	88	613	6	20	3	5	0	4	7	0
K14209	716	2018	87	27	22	39	9	5	44	6
K15331	1565	128	124	0	7	14	4	5	12	11
K02932	34921	4720	5143	315	453	965	701	794	1018	1110
K02935	1865	934	365	8	25	74	30	52	51	36
K15336	1065	2793	242	23	18	93	29	21	133	52
K02937	21351	2751	3123	181	227	531	336	386	568	489
K02936	19084	2786	3482	152	239	695	403	498	673	643
K02938	67545	11731	13658	1308	2446	3034	2394	2737	2717	2995
K08866	16	419	1	5	3	7	5	0	13	0
K17973	742	417	231	11	15	77	27	28	69	73
K17972	199	1622	53	13	11	40	11	11	41	13
K00208	1585	678	177	331	54	30	6	6	21	7
K01001	6129	737	307	78	33	50	10	15	36	14
K04523	102	5833	57	53	28	129	17	19	165	16
K14848	4121	1191	2699	24	175	623	460	599	675	678
K01007	30	1565	16	20	4	17	0	0	22	0
K14846	1900	535	847	8	49	205	157	181	224	201
K14847	6283	1538	2489	36	196	640	456	470	671	577
K14844	6771	1773	2577	22	197	522	332	451	644	605
K14842	2792	1248	981	21	87	255	203	226	381	267
K05034	87	2783	9	8	21	40	1	0	9	1
K14840	3008	1575	1476	33	78	318	234	251	305	309
K14841	6413	989	3092	23	132	754	383	589	694	672
K02739	49	2646	29	26	12	61	15	14	67	20
K02738	99	2928	21	31	16	55	14	23	63	2
K15429	869	207	270	5	11	66	48	44	60	55
K14683	3744	46553	526	227	204	933	55	73	1426	141
K02732	116	2996	40	35	13	56	13	20	70	19
K02731	91	2522	34	30	21	36	19	20	42	28
K15424	96	1410	12	17	6	15	4	3	15	4
K15423	141	1351	34	44	33	24	6	14	66	4
K02736	3038	8879	673	400	104	201	60	78	239	120
K02735	80	1931	33	22	14	34	10	17	51	18
K02734	77	2334	29	26	13	29	12	13	33	19
K02115	34076	37520	6406	2280	995	948	511	602	1334	703
K03258	1468	1787	114	38	21	40	15	14	67	20
K01649	8730	1542	1256	68	100	235	98	98	307	204
K12848	132	433	28	3	1	10	6	9	18	4
K12849	36	394	5	4	1	14	2	6	34	8
K12844	704	2619	72	11	9	30	26	11	20	20
K12845	5565	612	1092	7	67	187	128	149	192	158
K12847	334	2475	41	28	18	28	1	3	46	6
K12840	106	120	22	2	0	4	3	0	2	1
K01647	1872	3072	393	16	38	502	141	206	320	348
K12842	133	1142	18	5	8	13	2	3	22	0
K12843	427	1812	17	25	21	19	1	5	24	10
K03868	32	729	6	12	1	14	0	2	25	3
K03869	273	1892	21	14	12	22	2	3	24	1
K06119	588	3025	63	98	23	63	13	24	47	17
K03514	604	1489	87	41	22	28	2	16	50	14
K03515	24	1117	4	6	8	5	1	2	11	1
K03517	2870	228	382	7	16	46	21	19	43	45
K03511	3	172	2	2	0	3	0	1	4	0
K02028	5	1498	26	42	0	0	4	0	0	4
K03885	1439	1896	587	224	109	173	34	57	113	40
K02209	24	649	6	27	5	7	0	1	8	7
K02202	76	251	5	1	7	4	0	1	8	5
K06062	47	866	6	7	6	9	0	2	15	2
K03083	47	3252	7	25	4	15	2	5	34	2
K03240	742	1289	54	23	7	23	8	14	15	13
K03242	3546	1786	670	48	53	289	99	102	240	141
K03243	8339	1311	2514	102	221	745	271	380	761	502
K03245	3669	1655	801	36	52	296	93	142	266	173
K03246	9774	2528	2863	139	170	599	360	480	704	688
K03247	3356	1175	908	43	81	274	159	159	240	221
K03248	3046	1621	744	45	66	230	108	148	252	173
K03249	4005	1630	1231	51	105	351	202	208	327	304
K12190	14	337	2	6	2	0	0	0	5	0
K12191	481	2377	241	60	67	90	33	22	205	67
K12196	485	2208	222	70	152	159	15	40	221	41
K12197	410	2125	214	75	122	222	42	56	313	67
K12194	654	2348	317	51	113	258	76	77	362	72
K12195	31	508	8	6	3	5	0	0	10	2
K06100	646	2521	87	37	19	38	3	7	50	7
K12198	543	1355	206	65	92	160	27	41	306	42
