geneID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control
Throt19415	0.0006153846153846153	0.0015806111696522658	0.0006961364427427775	0.0008798944126704795	0.0	0.0010976948408342483	0.0025062656641604013	0.002273760800363802	0.000352112676056338	0.0019425019425019427
Throt16699	0.0	0.001053740779768177	0.0	0.0	0.0	0.0	0.0004177109440267335	0.0	0.0	0.0
Throt16698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt19410	0.0	0.001053740779768177	0.0005221023320570832	0.0	0.0002805836139169473	0.0	0.000835421888053467	0.0009095043201455207	0.000352112676056338	0.0
Throt19411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt913	0.0016923076923076922	0.002370916754478398	0.0034806822137138883	0.001759788825340959	0.0016835016835016834	0.0026344676180021956	0.001670843776106934	0.004547521600727604	0.001056338028169014	0.001554001554001554
Throt912	0.7636923076923074	0.7223393045310853	0.047163243995823174	0.2534095908490981	0.0025252525252525255	0.009659714599341384	0.005012531328320803	0.008185538881309688	0.024295774647887323	0.00505050505050505
Throt911	0.2541538461538461	0.02818756585879873	0.04594500522102333	0.09326880774307084	0.05246913580246914	0.04281009879253568	0.03842940685045949	0.02910413824465666	0.08767605633802815	0.03341103341103341
Throt910	0.0006153846153846153	0.00553213909378293	0.00034806822137138876	0.0008798944126704795	0.0008417508417508417	0.004171240395170143	0.000835421888053467	0.0018190086402910413	0.0038732394366197184	0.0011655011655011655
Throt917	0.001846153846153846	0.0031612223393045315	0.002436477549599722	0.001319841619005719	0.0014029180695847364	0.001756311745334797	0.0020885547201336674	0.002273760800363802	0.004577464788732394	0.000777000777000777
Throt916	0.0019999999999999996	0.003951527924130664	0.0022624434389140274	0.001759788825340959	0.0014029180695847364	0.001756311745334797	0.0012531328320802006	0.005002273760800364	0.005633802816901408	0.0019425019425019427
Throt915	0.013230769230769228	0.0321390937829294	0.01896971806474069	0.02199736031676199	0.011223344556677891	0.00614709110867179	0.02255639097744361	0.018190086402910415	0.00880281690140845	0.013597513597513598
Throt914	1.4613846153846153	0.09299262381454163	0.27236338322311177	0.36163660360756705	0.3787878787878788	0.15477497255762898	0.6136173767752715	0.28331059572532974	0.18521126760563378	0.2261072261072261
Throt919	0.0	0.0015806111696522658	0.00017403411068569438	0.0	0.0	0.0	0.0012531328320802006	0.0	0.0	0.0003885003885003885
Throt918	0.0	0.0005268703898840885	0.00017403411068569438	0.0	0.0	0.0002195389681668496	0.0004177109440267335	0.0	0.0	0.0003885003885003885
Throt16349	0.0	0.002370916754478398	0.0005221023320570832	0.00043994720633523974	0.0002805836139169473	0.0010976948408342483	0.0	0.0	0.000352112676056338	0.0
Throt16348	0.0	0.0	0.0	0.0	0.0	0.0004390779363336992	0.0	0.0	0.0	0.0
Throt16347	0.001846153846153846	0.0018440463645943098	0.0005221023320570832	0.0	0.0005611672278338945	0.0010976948408342483	0.0	0.0009095043201455207	0.001408450704225352	0.0
Throt16346	0.0	0.00026343519494204424	0.0	0.0	0.0	0.0004390779363336992	0.0	0.0	0.0	0.0
Throt16345	0.00015384615384615382	0.00026343519494204424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt16344	0.0	0.0005268703898840885	0.00034806822137138876	0.0	0.0	0.0002195389681668496	0.0	0.0	0.0	0.0
Throt16343	0.00015384615384615382	0.00026343519494204424	0.00017403411068569438	0.0	0.0005611672278338945	0.0	0.0	0.0	0.000704225352112676	0.0
Throt16342	0.0	0.0015806111696522658	0.00017403411068569438	0.0	0.0	0.0	0.0	0.0	0.0	0.0003885003885003885
Throt16341	0.0	0.0005268703898840885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt16340	0.00030769230769230765	0.006849315068493151	0.0019143752175426385	0.00043994720633523974	0.002244668911335578	0.003951701427003293	0.0012531328320802006	0.002273760800363802	0.002112676056338028	0.0003885003885003885
Throt18091	0.0	0.001053740779768177	0.0	0.0	0.0	0.0	0.0	0.00045475216007276033	0.0	0.0
Throt18090	0.0	0.00026343519494204424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt18093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
