gID	Old Seq Name	Description
Throt5896	Locus4876v2rpkm3.63	Locus4876v2rpkm3.63
Throt5897	Locus4877v1rpkm21.29	Locus4877v1rpkm21.29
Throt5898	Locus4878v1rpkm21.29	Locus4878v1rpkm21.29
Throt5899	Locus4879v1rpkm21.29	Locus4879v1rpkm21.29
Throt5900	Locus4880v1rpkm21.29	Locus4880v1rpkm21.29
Throt5901	Locus4880v2rpkm18.46	Locus4880v2rpkm18.46
Throt5902	Locus4880v3rpkm1.73_PRE	Locus4880v3rpkm1.73_PRE
Throt5903	Locus4881v1rpkm21.28	Locus4881v1rpkm21.28
Throt5904	Locus4881v2rpkm5.94	Locus4881v2rpkm5.94
Throt5905	Locus4882v1rpkm21.27	Locus4882v1rpkm21.27
Throt5906	Locus4883v1rpkm21.27	Locus4883v1rpkm21.27
Throt5907	Locus4884v1rpkm21.27	Locus4884v1rpkm21.27
Throt5908	Locus4885v1rpkm21.27	Locus4885v1rpkm21.27
Throt5909	Locus4886v1rpkm21.27	Locus4886v1rpkm21.27
Throt5910	Locus4887v1rpkm21.27	Locus4887v1rpkm21.27
Throt5911	Locus4887v2rpkm0.84_PRE	Locus4887v2rpkm0.84_PRE
Throt5912	Locus4888v1rpkm21.26	Locus4888v1rpkm21.26
Throt5913	Locus4889v1rpkm21.25	Locus4889v1rpkm21.25
Throt5914	Locus4890v1rpkm21.25	Locus4890v1rpkm21.25
Throt5915	Locus4891v1rpkm21.25	Locus4891v1rpkm21.25
Throt5916	Locus4892v1rpkm21.24	Locus4892v1rpkm21.24
Throt5917	Locus4893v1rpkm21.24	Locus4893v1rpkm21.24
Throt5918	Locus4894v1rpkm21.23	Locus4894v1rpkm21.23
Throt5919	Locus4895v1rpkm21.23	Locus4895v1rpkm21.23
Throt5920	Locus4896v1rpkm21.23	Locus4896v1rpkm21.23
Throt5921	Locus4897v1rpkm21.22	Locus4897v1rpkm21.22
Throt5922	Locus4898v1rpkm21.22	Locus4898v1rpkm21.22
Throt5923	Locus4898v2rpkm11.94	Locus4898v2rpkm11.94
Throt5924	Locus4899v1rpkm21.22	Locus4899v1rpkm21.22
Throt5925	Locus4900v1rpkm21.22	Locus4900v1rpkm21.22
Throt5926	Locus4901v1rpkm21.22	Locus4901v1rpkm21.22
