geneID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control
Throt17282	0	5	0	0	0	1	0	0	0	0
Throt1069	0	2	0	2	0	0	0	3	0	0
Throt16888	0	0	0	0	0	0	0	0	0	0
Throt16889	0	4	0	1	0	0	0	0	1	0
Throt1068	0	4	4	0	3	41	1	0	24	0
Throt16880	0	0	1	0	0	1	0	1	0	0
Throt16881	0	2	0	1	0	0	0	0	0	0
Throt16882	0	0	0	0	0	0	0	0	0	0
Throt16883	2	2	0	1	0	0	0	0	0	0
Throt16884	0	0	0	1	0	0	0	0	0	0
Throt16885	2	9	0	3	3	3	1	0	13	2
Throt16886	0	7	2	0	0	2	3	1	3	4
Throt16887	0	2	0	0	0	0	0	0	0	0
Throt1063	66	31	9	0	2	1	1	1	5	3
Throt1062	0	1	1	0	0	5	0	0	4	2
Throt1061	0	1	1	0	0	0	0	0	1	0
Throt1060	2	18	0	2	4	5	0	0	0	0
Throt10266	0	3	0	0	2	1	0	0	0	0
Throt10267	2	10	5	3	2	1	3	1	4	2
Throt1065	2	8	1	2	2	1	1	3	0	0
Throt1064	4	9	0	0	0	2	0	0	0	2
Throt13407	0	5	0	0	3	0	0	0	3	0
Throt4944	10	11	1	0	0	0	0	0	4	0
Throt13406	2	2	2	1	0	1	0	0	2	1
Throt13405	2	1	0	0	0	0	0	0	0	0
Throt18452	0	0	0	0	0	1	0	0	1	0
Throt18455	4	5	3	0	14	8	5	1	1	2
Throt18454	0	0	0	0	0	0	0	0	0	0
Throt12471	0	2	0	0	0	0	0	0	0	0
Throt20409	0	0	0	0	0	0	0	0	0	0
Throt20408	0	0	0	0	0	0	0	0	0	0
Throt12470	1	7	0	2	1	2	0	0	3	0
Throt20405	0	0	0	0	0	0	0	0	0	1
Throt20404	0	0	0	0	0	0	0	0	0	0
Throt20407	0	0	0	0	0	0	0	0	0	0
Throt20406	0	0	0	0	0	0	0	0	0	0
Throt20401	0	0	0	0	0	0	0	0	0	0
Throt20400	0	0	0	0	0	0	0	0	0	0
Throt20403	0	0	0	0	0	0	0	0	0	0
Throt20402	0	0	0	0	0	0	0	0	0	0
Throt21752	0	0	0	0	0	0	0	0	0	0
Throt21753	0	0	0	0	0	0	0	0	0	0
Throt21750	0	0	0	0	0	0	0	0	0	0
Throt21751	0	0	0	0	0	0	0	0	0	0
Throt21756	0	0	0	0	0	0	0	0	0	0
Throt21757	0	0	0	0	0	0	0	0	0	0
Throt21754	0	0	0	0	0	0	0	0	0	0
Throt21755	0	0	0	0	0	0	0	0	0	0
Throt3670	0	0	0	0	0	0	0	0	0	0
Throt21758	0	0	0	0	0	0	0	0	0	0
Throt21759	0	0	0	0	0	0	0	0	0	0
Throt3671	2	0	0	2	0	0	0	0	0	0
Throt12477	0	0	0	0	0	0	0	0	0	0
Throt12476	0	3	0	0	0	1	0	0	0	0
Throt6637	4	0	0	0	0	0	0	1	1	1
Throt6636	6	14	15	1	8	9	4	9	8	4
Throt6635	1	12	6	3	1	1	3	3	9	0
Throt6634	3	2	4	0	1	0	0	1	0	1
Throt6633	0	1	2	0	2	1	2	0	2	0
Throt6632	4	20	17	8	12	13	7	7	9	6
Throt6631	52	22	53	5	27	7	8	13	5	10
Throt6630	8	4	10	7	6	10	0	0	10	0
Throt6639	0	0	0	0	0	0	0	0	0	0
Throt6638	1	0	1	1	1	2	1	0	1	1
Throt8569	2	62	20	3	22	26	32	16	2	20
Throt8568	0	0	0	0	0	0	0	0	0	0
Throt8565	3	1	0	0	0	4	0	0	2	0
Throt8564	10	11	12	1	0	1	1	1	2	0
Throt8567	5	3	3	0	3	1	0	1	0	0
Throt8566	6	3	3	0	2	1	0	1	0	0
Throt8561	0	1	0	0	0	0	0	0	0	0
Throt8560	3	1	0	0	0	0	0	0	0	0
Throt8563	2	0	0	0	0	0	0	0	0	0
Throt8562	0	3	0	2	0	3	0	0	5	0
Throt17708	0	0	0	0	0	0	0	0	0	0
Throt17709	0	1	1	1	1	0	0	0	1	0
Throt12558	3	3	3	0	0	2	1	0	1	1
Throt12559	0	0	0	0	0	2	0	0	0	0
Throt17700	8	15	6	2	3	10	3	5	1	4
Throt17701	0	4	0	0	0	0	0	1	0	0
Throt17702	1	0	0	0	0	0	0	0	0	0
Throt17703	2	8	4	4	4	1	4	1	3	4
Throt17704	1	2	0	0	0	0	0	0	0	0
Throt17705	52	65	72	25	49	15	26	38	30	39
Throt17706	0	0	0	0	0	0	0	0	0	0
Throt12551	0	0	0	0	0	0	0	0	0	0
Throt14240	0	3	0	0	2	4	4	2	2	3
Throt14241	0	3	1	0	0	0	0	0	0	0
Throt14242	0	0	0	0	0	0	0	0	0	0
Throt14243	0	6	2	1	0	0	0	0	1	0
Throt14244	0	1	0	0	0	0	0	0	2	0
Throt14245	0	1	0	0	0	0	0	0	0	0
Throt14246	0	0	0	0	0	0	0	0	0	0
Throt14247	2	1	4	1	0	1	1	0	2	0
Throt14248	2	0	0	1	0	1	0	0	2	0
Throt14249	0	0	0	0	0	1	0	0	1	0
Throt10950	0	4	0	0	1	0	0	0	0	0
Throt10951	24	1	8	0	2	1	0	0	0	1
Throt10952	2	10	3	1	2	1	1	1	4	0
Throt10953	0	1	0	0	0	2	0	1	0	0
Throt10954	305	431	322	137	260	155	91	195	123	210
Throt10955	0	2	2	0	0	0	0	0	0	0
Throt10956	0	2	1	0	0	0	1	0	0	0
Throt10957	0	2	1	0	0	0	1	0	0	0
Throt10958	2	6	0	0	2	9	0	0	3	0
Throt10959	2	2	2	0	3	2	1	0	4	2
Throt881	3	23	5	2	5	21	9	0	29	2
Throt880	12	9	11	2	1	8	2	5	0	6
Throt883	8	5	0	0	0	0	0	0	0	0
Throt882	18292	506	3537	2483	3967	2353	1195	648	2110	652
Throt885	0	0	0	1	0	0	0	0	0	0
Throt884	3	8	4	0	1	8	3	3	1	1
Throt887	4	22	1	1	6	2	0	0	8	3
Throt886	12	35	9	9	7	12	0	1	12	0
Throt889	7	8	2	0	2	8	3	0	3	0
Throt888	3	12	1	0	1	2	0	0	2	0
Throt16079	0	0	0	0	0	0	0	0	0	0
Throt16078	1	5	0	1	0	0	0	0	2	0
Throt7278	0	5	1	0	0	3	0	0	5	1
Throt7279	10	11	12	0	3	4	1	2	1	2
Throt16071	1	0	13	0	2	1	0	7	0	0
Throt16070	0	4	0	0	0	0	0	0	0	1
Throt16073	845	1378	1106	444	944	448	488	551	381	568
Throt16072	2881	4227	3330	1195	2739	1429	1371	1613	1093	1753
Throt16075	0	0	1	0	0	0	0	0	0	0
Throt16074	1	1	1	0	1	0	0	0	0	0
Throt7272	43	88	69	18	24	21	30	13	18	19
Throt16076	1	1	2	0	1	1	0	0	1	0
Throt13731	6	0	0	0	0	0	0	0	1	0
Throt13730	0	0	0	0	0	0	0	0	0	0
Throt13733	0	0	0	0	0	0	0	0	0	0
Throt13732	1	0	0	0	0	0	0	0	0	0
Throt13735	1	0	0	0	0	0	1	1	1	0
Throt13734	1	0	0	0	0	1	0	0	0	1
Throt13737	0	19	1	0	0	2	0	1	1	0
Throt13736	0	0	0	0	0	0	1	0	0	0
Throt13739	0	0	0	0	0	1	0	0	1	0
Throt13738	1	3	5	0	0	0	0	2	1	4
Throt18549	4	0	1	1	0	0	0	0	0	0
Throt18548	3	3	3	1	1	4	1	0	0	1
Throt779	14	2	2	0	0	0	0	0	1	0
Throt778	63	23	6	1	1	2	2	1	2	1
Throt11391	0	8	0	0	0	3	0	0	0	2
Throt11390	0	0	0	0	0	0	0	0	0	0
Throt11393	8	4	6	1	1	2	2	1	0	1
Throt11392	1	2	6	2	2	7	1	1	10	1
Throt11395	0	33	0	0	0	26	0	0	0	0
Throt11394	6	0	1	0	0	1	0	0	0	0
Throt11397	287	410	350	127	120	108	135	123	93	136
