gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos1018	84	606	10	6	4	14	0	3	10	0
Skcos10180	1127	1153	47	40	11	11	4	1	21	1
Skcos10181	4	121	0	1	0	3	0	0	5	1
Skcos10182	69	672	24	5	2	8	2	0	8	2
Skcos10183	35	398	4	4	0	4	0	0	2	0
Skcos10184	10	211	2	0	3	0	0	1	1	0
Skcos10185	21	134	1	1	2	4	0	0	2	0
Skcos10186	47	212	12	6	0	8	2	1	9	4
Skcos10187	43	986	15	12	1	10	4	5	17	4
Skcos10188	200	835	6	6	0	5	1	3	15	0
Skcos10189	3729	239	48	90	4	1	1	2	4	3
Skcos1019	212	1226	69	36	14	74	23	12	92	28
Skcos10190	401	553	34	11	3	13	4	3	18	6
Skcos10191	74	467	7	3	0	8	6	2	9	0
Skcos10192	4	38	3	0	0	2	0	0	2	0
Skcos10193	271	1859	103	32	16	12	2	9	35	12
Skcos10194	95	525	12	5	2	1	2	3	6	1
Skcos10195	293	892	83	17	11	31	23	16	30	21
Skcos10196	7	74	11	19	9	32	2	3	15	5
Skcos10197	71	1298	19	14	9	89	3	5	72	4
Skcos10198	6	156	2	3	0	5	0	0	2	0
Skcos10199	155	909	58	8	27	9	3	5	4	3
Skcos102	54	1477	22	11	3	32	2	6	40	13
Skcos1020	178	76	12	0	0	3	6	1	10	0
Skcos10200	70	952	24	4	5	14	0	1	12	1
Skcos10201	75	965	14	11	3	12	4	4	21	2
Skcos10202	32	1408	17	23	13	32	4	8	32	6
Skcos10203	59	180	1	4	0	0	0	0	1	0
Skcos10204	49	33	1	0	0	1	0	0	0	0
Skcos10205	349	131	37	2	0	6	2	2	3	2
Skcos10206	76	666	14	2	4	16	3	9	20	6
Skcos10207	9	199	8	1	1	10	1	2	1	2
Skcos10208	74	164	5	1	1	7	1	1	7	5
Skcos10209	24	71	5	0	0	0	0	0	2	0
Skcos1021	11	65	14	0	1	131	4	1	53	3
Skcos10210	47	761	1	6	2	2	0	0	5	0
Skcos10211	101	106	13	2	0	1	1	1	2	3
Skcos10212	58	2241	10	29	7	22	6	12	18	8
Skcos10213	245	1597	69	29	15	46	5	9	69	14
Skcos10214	5	543	4	11	1	0	0	0	1	0
Skcos10215	26	2	0	0	0	0	0	0	0	0
Skcos10216	37500	86366	8508	1488	878	2973	1326	1744	3960	1928
Skcos10217	169	771	53	10	9	49	16	18	67	28
Skcos10218	269	2486	68	42	14	30	11	9	43	25
Skcos10219	23	661	13	10	4	16	11	1	23	3
Skcos1022	3	21	0	0	0	0	0	2	0	0
Skcos10220	34921	4720	5143	315	453	965	701	794	1018	1110
Skcos10221	2	63	0	1	0	0	0	0	0	0
Skcos10222	6	184	0	1	0	4	1	0	1	3
Skcos10223	18749	3512	2789	159	232	596	363	440	638	603
Skcos10224	2	42	0	0	0	0	0	0	0	0
Skcos10225	107	3319	40	30	15	40	3	16	55	11
Skcos10226	19	167	0	1	0	0	0	0	1	2
Skcos10227	7	71	0	1	0	2	0	0	0	0
Skcos10228	63	416	17	2	7	9	2	2	2	3
Skcos10229	24	308	9	3	0	11	5	3	10	8
Skcos1023	14254	2382	1826	110	221	372	247	318	440	422
Skcos10230	716	576	163	15	18	25	9	8	7	6
Skcos10231	61	231	25	4	4	5	0	2	32	4
Skcos10232	6	92	1	3	0	3	0	1	3	3
